condition_status,year,race,bmi,wtgain,counts,condition
Yes,2021,White,Unknown or Not Stated,21 to 30 pounds,99,gestational_hypertension
Yes,2021,White,Unknown or Not Stated,31 to 40 pounds,80,gestational_hypertension
Yes,2021,White,Unknown or Not Stated,41 to 98 pounds,92,gestational_hypertension
Yes,2021,White,Unknown or Not Stated,Unknown or Not Stated,3534,gestational_hypertension
Yes,2021,More than one race,Underweight <18.5,11 to 20 pounds,14,gestational_hypertension
Yes,2021,More than one race,Underweight <18.5,21 to 30 pounds,35,gestational_hypertension
Yes,2021,More than one race,Underweight <18.5,31 to 40 pounds,41,gestational_hypertension
Yes,2021,More than one race,Underweight <18.5,41 to 98 pounds,51,gestational_hypertension
Yes,2021,More than one race,Normal 18.5-24.9,Less than 11 pounds,58,gestational_hypertension
Yes,2021,More than one race,Normal 18.5-24.9,11 to 20 pounds,183,gestational_hypertension
Yes,2021,More than one race,Normal 18.5-24.9,21 to 30 pounds,415,gestational_hypertension
Yes,2021,More than one race,Normal 18.5-24.9,31 to 40 pounds,558,gestational_hypertension
Yes,2021,More than one race,Normal 18.5-24.9,41 to 98 pounds,919,gestational_hypertension
Yes,2021,More than one race,Normal 18.5-24.9,Unknown or Not Stated,21,gestational_hypertension
Yes,2021,More than one race,Overweight 25.0-29.9,Less than 11 pounds,113,gestational_hypertension
Yes,2021,More than one race,Overweight 25.0-29.9,11 to 20 pounds,259,gestational_hypertension
Yes,2021,More than one race,Overweight 25.0-29.9,21 to 30 pounds,492,gestational_hypertension
Yes,2021,More than one race,Overweight 25.0-29.9,31 to 40 pounds,575,gestational_hypertension
Yes,2021,More than one race,Overweight 25.0-29.9,41 to 98 pounds,935,gestational_hypertension
Yes,2021,More than one race,Overweight 25.0-29.9,Unknown or Not Stated,17,gestational_hypertension
Yes,2021,More than one race,Obesity I 30.0-34.9,Less than 11 pounds,208,gestational_hypertension
Yes,2021,More than one race,Obesity I 30.0-34.9,11 to 20 pounds,350,gestational_hypertension
Yes,2021,More than one race,Obesity I 30.0-34.9,21 to 30 pounds,446,gestational_hypertension
Yes,2021,More than one race,Obesity I 30.0-34.9,31 to 40 pounds,396,gestational_hypertension
Yes,2021,More than one race,Obesity I 30.0-34.9,41 to 98 pounds,547,gestational_hypertension
Yes,2021,More than one race,Obesity I 30.0-34.9,Unknown or Not Stated,11,gestational_hypertension
Yes,2021,More than one race,Obesity II 35.0-39.9,Less than 11 pounds,225,gestational_hypertension
Yes,2021,More than one race,Obesity II 35.0-39.9,11 to 20 pounds,298,gestational_hypertension
Yes,2021,More than one race,Obesity II 35.0-39.9,21 to 30 pounds,317,gestational_hypertension
Yes,2021,More than one race,Obesity II 35.0-39.9,31 to 40 pounds,241,gestational_hypertension
Yes,2021,More than one race,Obesity II 35.0-39.9,41 to 98 pounds,288,gestational_hypertension
Yes,2021,More than one race,Obesity II 35.0-39.9,Unknown or Not Stated,16,gestational_hypertension
Yes,2021,More than one race,Extreme Obesity III > 39.9,Less than 11 pounds,362,gestational_hypertension
Yes,2021,More than one race,Extreme Obesity III > 39.9,11 to 20 pounds,289,gestational_hypertension
Yes,2021,More than one race,Extreme Obesity III > 39.9,21 to 30 pounds,292,gestational_hypertension
Yes,2021,More than one race,Extreme Obesity III > 39.9,31 to 40 pounds,180,gestational_hypertension
Yes,2021,More than one race,Extreme Obesity III > 39.9,41 to 98 pounds,241,gestational_hypertension
Yes,2021,More than one race,Extreme Obesity III > 39.9,Unknown or Not Stated,41,gestational_hypertension
Yes,2021,More than one race,Unknown or Not Stated,Unknown or Not Stated,195,gestational_hypertension
No,2021,American Indian or Alaska Native,Underweight <18.5,Less than 11 pounds,32,gestational_hypertension
No,2021,American Indian or Alaska Native,Underweight <18.5,11 to 20 pounds,90,gestational_hypertension
No,2021,American Indian or Alaska Native,Underweight <18.5,21 to 30 pounds,171,gestational_hypertension
No,2021,American Indian or Alaska Native,Underweight <18.5,31 to 40 pounds,153,gestational_hypertension
No,2021,American Indian or Alaska Native,Underweight <18.5,41 to 98 pounds,197,gestational_hypertension
No,2021,American Indian or Alaska Native,Underweight <18.5,Unknown or Not Stated,15,gestational_hypertension
No,2021,American Indian or Alaska Native,Normal 18.5-24.9,Less than 11 pounds,600,gestational_hypertension
No,2021,American Indian or Alaska Native,Normal 18.5-24.9,11 to 20 pounds,1358,gestational_hypertension
No,2021,American Indian or Alaska Native,Normal 18.5-24.9,21 to 30 pounds,2389,gestational_hypertension
No,2021,American Indian or Alaska Native,Normal 18.5-24.9,31 to 40 pounds,2258,gestational_hypertension
No,2021,American Indian or Alaska Native,Normal 18.5-24.9,41 to 98 pounds,2595,gestational_hypertension
No,2021,American Indian or Alaska Native,Normal 18.5-24.9,Unknown or Not Stated,106,gestational_hypertension
No,2021,American Indian or Alaska Native,Overweight 25.0-29.9,Less than 11 pounds,1037,gestational_hypertension
No,2021,American Indian or Alaska Native,Overweight 25.0-29.9,11 to 20 pounds,1615,gestational_hypertension
No,2021,American Indian or Alaska Native,Overweight 25.0-29.9,21 to 30 pounds,2129,gestational_hypertension
No,2021,American Indian or Alaska Native,Overweight 25.0-29.9,31 to 40 pounds,1773,gestational_hypertension
No,2021,American Indian or Alaska Native,Overweight 25.0-29.9,41 to 98 pounds,1886,gestational_hypertension
No,2021,American Indian or Alaska Native,Overweight 25.0-29.9,Unknown or Not Stated,108,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,Less than 11 pounds,1201,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,11 to 20 pounds,1418,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,21 to 30 pounds,1415,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,31 to 40 pounds,1021,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,41 to 98 pounds,1008,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,Unknown or Not Stated,96,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,Less than 11 pounds,901,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,11 to 20 pounds,825,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,21 to 30 pounds,733,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,31 to 40 pounds,451,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,41 to 98 pounds,424,gestational_hypertension
No,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,Unknown or Not Stated,78,gestational_hypertension
No,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,Less than 11 pounds,753,gestational_hypertension
No,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,11 to 20 pounds,493,gestational_hypertension
No,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,21 to 30 pounds,441,gestational_hypertension
No,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,31 to 40 pounds,231,gestational_hypertension
No,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,41 to 98 pounds,255,gestational_hypertension
No,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,Unknown or Not Stated,65,gestational_hypertension
No,2021,American Indian or Alaska Native,Unknown or Not Stated,Less than 11 pounds,11,gestational_hypertension
No,2021,American Indian or Alaska Native,Unknown or Not Stated,21 to 30 pounds,23,gestational_hypertension
No,2021,American Indian or Alaska Native,Unknown or Not Stated,31 to 40 pounds,12,gestational_hypertension
No,2021,American Indian or Alaska Native,Unknown or Not Stated,41 to 98 pounds,12,gestational_hypertension
No,2021,American Indian or Alaska Native,Unknown or Not Stated,Unknown or Not Stated,805,gestational_hypertension
No,2021,Asian,Underweight <18.5,Less than 11 pounds,196,gestational_hypertension
No,2021,Asian,Underweight <18.5,11 to 20 pounds,1621,gestational_hypertension
No,2021,Asian,Underweight <18.5,21 to 30 pounds,4177,gestational_hypertension
No,2021,Asian,Underweight <18.5,31 to 40 pounds,3001,gestational_hypertension
No,2021,Asian,Underweight <18.5,41 to 98 pounds,1408,gestational_hypertension
No,2021,Asian,Underweight <18.5,Unknown or Not Stated,69,gestational_hypertension
No,2021,Asian,Normal 18.5-24.9,Less than 11 pounds,4268,gestational_hypertension
No,2021,Asian,Normal 18.5-24.9,11 to 20 pounds,20401,gestational_hypertension
No,2021,Asian,Normal 18.5-24.9,21 to 30 pounds,43740,gestational_hypertension
No,2021,Asian,Normal 18.5-24.9,31 to 40 pounds,33544,gestational_hypertension
No,2021,Asian,Normal 18.5-24.9,41 to 98 pounds,16463,gestational_hypertension
No,2021,Asian,Normal 18.5-24.9,Unknown or Not Stated,878,gestational_hypertension
No,2021,Asian,Overweight 25.0-29.9,Less than 11 pounds,5917,gestational_hypertension
No,2021,Asian,Overweight 25.0-29.9,11 to 20 pounds,13315,gestational_hypertension
No,2021,Asian,Overweight 25.0-29.9,21 to 30 pounds,17157,gestational_hypertension
No,2021,Asian,Overweight 25.0-29.9,31 to 40 pounds,10644,gestational_hypertension
No,2021,Asian,Overweight 25.0-29.9,41 to 98 pounds,5969,gestational_hypertension
No,2021,Asian,Overweight 25.0-29.9,Unknown or Not Stated,422,gestational_hypertension
No,2021,Asian,Obesity I 30.0-34.9,Less than 11 pounds,3573,gestational_hypertension
No,2021,Asian,Obesity I 30.0-34.9,11 to 20 pounds,5520,gestational_hypertension
No,2021,Asian,Obesity I 30.0-34.9,21 to 30 pounds,5186,gestational_hypertension
No,2021,Asian,Obesity I 30.0-34.9,31 to 40 pounds,2765,gestational_hypertension
No,2021,Asian,Obesity I 30.0-34.9,41 to 98 pounds,1573,gestational_hypertension
No,2021,Asian,Obesity I 30.0-34.9,Unknown or Not Stated,188,gestational_hypertension
No,2021,Asian,Obesity II 35.0-39.9,Less than 11 pounds,1263,gestational_hypertension
No,2021,Asian,Obesity II 35.0-39.9,11 to 20 pounds,1423,gestational_hypertension
No,2021,Asian,Obesity II 35.0-39.9,21 to 30 pounds,1236,gestational_hypertension
No,2021,Asian,Obesity II 35.0-39.9,31 to 40 pounds,619,gestational_hypertension
No,2021,Asian,Obesity II 35.0-39.9,41 to 98 pounds,351,gestational_hypertension
No,2021,Asian,Obesity II 35.0-39.9,Unknown or Not Stated,56,gestational_hypertension
No,2021,Asian,Extreme Obesity III > 39.9,Less than 11 pounds,507,gestational_hypertension
No,2021,Asian,Extreme Obesity III > 39.9,11 to 20 pounds,460,gestational_hypertension
No,2021,Asian,Extreme Obesity III > 39.9,21 to 30 pounds,337,gestational_hypertension
No,2021,Asian,Extreme Obesity III > 39.9,31 to 40 pounds,152,gestational_hypertension
No,2021,Asian,Extreme Obesity III > 39.9,41 to 98 pounds,115,gestational_hypertension
No,2021,Asian,Extreme Obesity III > 39.9,Unknown or Not Stated,36,gestational_hypertension
No,2021,Asian,Unknown or Not Stated,Less than 11 pounds,48,gestational_hypertension
No,2021,Asian,Unknown or Not Stated,11 to 20 pounds,102,gestational_hypertension
No,2021,Asian,Unknown or Not Stated,21 to 30 pounds,137,gestational_hypertension
No,2021,Asian,Unknown or Not Stated,31 to 40 pounds,104,gestational_hypertension
No,2021,Asian,Unknown or Not Stated,41 to 98 pounds,45,gestational_hypertension
No,2021,Asian,Unknown or Not Stated,Unknown or Not Stated,3993,gestational_hypertension
No,2021,Black or African American,Underweight <18.5,Less than 11 pounds,504,gestational_hypertension
No,2021,Black or African American,Underweight <18.5,11 to 20 pounds,2099,gestational_hypertension
No,2021,Black or African American,Underweight <18.5,21 to 30 pounds,4146,gestational_hypertension
No,2021,Black or African American,Underweight <18.5,31 to 40 pounds,3621,gestational_hypertension
No,2021,Black or African American,Underweight <18.5,41 to 98 pounds,3607,gestational_hypertension
No,2021,Black or African American,Underweight <18.5,Unknown or Not Stated,103,gestational_hypertension
No,2021,Black or African American,Normal 18.5-24.9,Less than 11 pounds,9243,gestational_hypertension
No,2021,Black or African American,Normal 18.5-24.9,11 to 20 pounds,25717,gestational_hypertension
No,2021,Black or African American,Normal 18.5-24.9,21 to 30 pounds,42343,gestational_hypertension
No,2021,Black or African American,Normal 18.5-24.9,31 to 40 pounds,37119,gestational_hypertension
No,2021,Black or African American,Normal 18.5-24.9,41 to 98 pounds,39135,gestational_hypertension
No,2021,Black or African American,Normal 18.5-24.9,Unknown or Not Stated,1201,gestational_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,Less than 11 pounds,15597,gestational_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,11 to 20 pounds,28565,gestational_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,21 to 30 pounds,36252,gestational_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,31 to 40 pounds,27445,gestational_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,41 to 98 pounds,29273,gestational_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,Unknown or Not Stated,1216,gestational_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,Less than 11 pounds,17361,gestational_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,11 to 20 pounds,22862,gestational_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,21 to 30 pounds,23847,gestational_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,31 to 40 pounds,16326,gestational_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,41 to 98 pounds,15894,gestational_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,Unknown or Not Stated,1034,gestational_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,Less than 11 pounds,13392,gestational_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,11 to 20 pounds,13090,gestational_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,21 to 30 pounds,11690,gestational_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,31 to 40 pounds,7214,gestational_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,41 to 98 pounds,6925,gestational_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,Unknown or Not Stated,928,gestational_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,Less than 11 pounds,14127,gestational_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,11 to 20 pounds,10369,gestational_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,21 to 30 pounds,8436,gestational_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,31 to 40 pounds,4769,gestational_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,41 to 98 pounds,4800,gestational_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,Unknown or Not Stated,1546,gestational_hypertension
No,2021,Black or African American,Unknown or Not Stated,Less than 11 pounds,211,gestational_hypertension
No,2021,Black or African American,Unknown or Not Stated,11 to 20 pounds,243,gestational_hypertension
No,2021,Black or African American,Unknown or Not Stated,21 to 30 pounds,262,gestational_hypertension
No,2021,Black or African American,Unknown or Not Stated,31 to 40 pounds,163,gestational_hypertension
No,2021,Black or African American,Unknown or Not Stated,41 to 98 pounds,187,gestational_hypertension
No,2021,Black or African American,Unknown or Not Stated,Unknown or Not Stated,11770,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,11 to 20 pounds,27,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,21 to 30 pounds,59,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,31 to 40 pounds,42,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,41 to 98 pounds,44,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,Less than 11 pounds,267,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,11 to 20 pounds,476,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,21 to 30 pounds,807,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,31 to 40 pounds,639,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,41 to 98 pounds,668,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,Unknown or Not Stated,42,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,Less than 11 pounds,509,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,11 to 20 pounds,629,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,21 to 30 pounds,779,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,31 to 40 pounds,594,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,41 to 98 pounds,681,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,Unknown or Not Stated,45,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,Less than 11 pounds,549,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,11 to 20 pounds,549,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,21 to 30 pounds,555,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,31 to 40 pounds,338,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,41 to 98 pounds,434,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,Unknown or Not Stated,40,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,Less than 11 pounds,391,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,11 to 20 pounds,342,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,21 to 30 pounds,321,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,31 to 40 pounds,203,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,41 to 98 pounds,220,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,Unknown or Not Stated,38,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,Less than 11 pounds,340,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,11 to 20 pounds,224,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,21 to 30 pounds,201,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,31 to 40 pounds,137,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,41 to 98 pounds,139,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,Unknown or Not Stated,23,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,Less than 11 pounds,19,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,11 to 20 pounds,11,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,21 to 30 pounds,12,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,31 to 40 pounds,10,gestational_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,Unknown or Not Stated,693,gestational_hypertension
No,2021,White,Underweight <18.5,Less than 11 pounds,1292,gestational_hypertension
No,2021,White,Underweight <18.5,11 to 20 pounds,7607,gestational_hypertension
No,2021,White,Underweight <18.5,21 to 30 pounds,19872,gestational_hypertension
No,2021,White,Underweight <18.5,31 to 40 pounds,18193,gestational_hypertension
No,2021,White,Underweight <18.5,41 to 98 pounds,15805,gestational_hypertension
No,2021,White,Underweight <18.5,Unknown or Not Stated,488,gestational_hypertension
No,2021,White,Normal 18.5-24.9,Less than 11 pounds,28998,gestational_hypertension
No,2021,White,Normal 18.5-24.9,11 to 20 pounds,125047,gestational_hypertension
No,2021,White,Normal 18.5-24.9,21 to 30 pounds,306013,gestational_hypertension
No,2021,White,Normal 18.5-24.9,31 to 40 pounds,296806,gestational_hypertension
No,2021,White,Normal 18.5-24.9,41 to 98 pounds,234231,gestational_hypertension
No,2021,White,Normal 18.5-24.9,Unknown or Not Stated,7669,gestational_hypertension
No,2021,White,Overweight 25.0-29.9,Less than 11 pounds,51228,gestational_hypertension
No,2021,White,Overweight 25.0-29.9,11 to 20 pounds,122811,gestational_hypertension
No,2021,White,Overweight 25.0-29.9,21 to 30 pounds,190260,gestational_hypertension
No,2021,White,Overweight 25.0-29.9,31 to 40 pounds,157717,gestational_hypertension
No,2021,White,Overweight 25.0-29.9,41 to 98 pounds,143985,gestational_hypertension
No,2021,White,Overweight 25.0-29.9,Unknown or Not Stated,4924,gestational_hypertension
No,2021,White,Obesity I 30.0-34.9,Less than 11 pounds,57228,gestational_hypertension
No,2021,White,Obesity I 30.0-34.9,11 to 20 pounds,89073,gestational_hypertension
No,2021,White,Obesity I 30.0-34.9,21 to 30 pounds,100696,gestational_hypertension
No,2021,White,Obesity I 30.0-34.9,31 to 40 pounds,69083,gestational_hypertension
No,2021,White,Obesity I 30.0-34.9,41 to 98 pounds,60383,gestational_hypertension
No,2021,White,Obesity I 30.0-34.9,Unknown or Not Stated,3441,gestational_hypertension
No,2021,White,Obesity II 35.0-39.9,Less than 11 pounds,42818,gestational_hypertension
No,2021,White,Obesity II 35.0-39.9,11 to 20 pounds,46710,gestational_hypertension
No,2021,White,Obesity II 35.0-39.9,21 to 30 pounds,43000,gestational_hypertension
No,2021,White,Obesity II 35.0-39.9,31 to 40 pounds,25429,gestational_hypertension
No,2021,White,Obesity II 35.0-39.9,41 to 98 pounds,21392,gestational_hypertension
No,2021,White,Obesity II 35.0-39.9,Unknown or Not Stated,2431,gestational_hypertension
No,2021,White,Extreme Obesity III > 39.9,Less than 11 pounds,38916,gestational_hypertension
No,2021,White,Extreme Obesity III > 39.9,11 to 20 pounds,30014,gestational_hypertension
No,2021,White,Extreme Obesity III > 39.9,21 to 30 pounds,24196,gestational_hypertension
No,2021,White,Extreme Obesity III > 39.9,31 to 40 pounds,13193,gestational_hypertension
No,2021,White,Extreme Obesity III > 39.9,41 to 98 pounds,10982,gestational_hypertension
No,2021,White,Extreme Obesity III > 39.9,Unknown or Not Stated,3438,gestational_hypertension
No,2021,White,Unknown or Not Stated,Less than 11 pounds,767,gestational_hypertension
No,2021,White,Unknown or Not Stated,11 to 20 pounds,1169,gestational_hypertension
No,2021,White,Unknown or Not Stated,21 to 30 pounds,1568,gestational_hypertension
No,2021,White,Unknown or Not Stated,31 to 40 pounds,1193,gestational_hypertension
No,2021,White,Unknown or Not Stated,41 to 98 pounds,859,gestational_hypertension
No,2021,White,Unknown or Not Stated,Unknown or Not Stated,39260,gestational_hypertension
No,2021,More than one race,Underweight <18.5,Less than 11 pounds,80,gestational_hypertension
No,2021,More than one race,Underweight <18.5,11 to 20 pounds,298,gestational_hypertension
No,2021,More than one race,Underweight <18.5,21 to 30 pounds,851,gestational_hypertension
No,2021,More than one race,Underweight <18.5,31 to 40 pounds,858,gestational_hypertension
No,2021,More than one race,Underweight <18.5,41 to 98 pounds,893,gestational_hypertension
No,2021,More than one race,Underweight <18.5,Unknown or Not Stated,31,gestational_hypertension
No,2021,More than one race,Normal 18.5-24.9,Less than 11 pounds,1347,gestational_hypertension
No,2021,More than one race,Normal 18.5-24.9,11 to 20 pounds,3996,gestational_hypertension
No,2021,More than one race,Normal 18.5-24.9,21 to 30 pounds,9407,gestational_hypertension
No,2021,More than one race,Normal 18.5-24.9,31 to 40 pounds,9846,gestational_hypertension
No,2021,More than one race,Normal 18.5-24.9,41 to 98 pounds,10120,gestational_hypertension
No,2021,More than one race,Normal 18.5-24.9,Unknown or Not Stated,363,gestational_hypertension
No,2021,More than one race,Overweight 25.0-29.9,Less than 11 pounds,2237,gestational_hypertension
No,2021,More than one race,Overweight 25.0-29.9,11 to 20 pounds,3948,gestational_hypertension
No,2021,More than one race,Overweight 25.0-29.9,21 to 30 pounds,6216,gestational_hypertension
No,2021,More than one race,Overweight 25.0-29.9,31 to 40 pounds,5426,gestational_hypertension
No,2021,More than one race,Overweight 25.0-29.9,41 to 98 pounds,6544,gestational_hypertension
No,2021,More than one race,Overweight 25.0-29.9,Unknown or Not Stated,239,gestational_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,Less than 11 pounds,2527,gestational_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,11 to 20 pounds,3076,gestational_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,21 to 30 pounds,3552,gestational_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,31 to 40 pounds,2865,gestational_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,41 to 98 pounds,3092,gestational_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,Unknown or Not Stated,197,gestational_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,Less than 11 pounds,1977,gestational_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,11 to 20 pounds,1784,gestational_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,21 to 30 pounds,1852,gestational_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,31 to 40 pounds,1180,gestational_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,41 to 98 pounds,1160,gestational_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,Unknown or Not Stated,133,gestational_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,Less than 11 pounds,2029,gestational_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,11 to 20 pounds,1427,gestational_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,21 to 30 pounds,1202,gestational_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,31 to 40 pounds,692,gestational_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,41 to 98 pounds,709,gestational_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,Unknown or Not Stated,230,gestational_hypertension
No,2021,More than one race,Unknown or Not Stated,Less than 11 pounds,13,gestational_hypertension
No,2021,More than one race,Unknown or Not Stated,11 to 20 pounds,24,gestational_hypertension
No,2021,More than one race,Unknown or Not Stated,21 to 30 pounds,36,gestational_hypertension
No,2021,More than one race,Unknown or Not Stated,31 to 40 pounds,21,gestational_hypertension
No,2021,More than one race,Unknown or Not Stated,41 to 98 pounds,30,gestational_hypertension
No,2021,More than one race,Unknown or Not Stated,Unknown or Not Stated,1845,gestational_hypertension
Unknown or Not Stated,2021,American Indian or Alaska Native,Unknown or Not Stated,Unknown or Not Stated,13,gestational_hypertension
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,21 to 30 pounds,21,gestational_hypertension
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,31 to 40 pounds,18,gestational_hypertension
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,41 to 98 pounds,11,gestational_hypertension
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,Unknown or Not Stated,38,gestational_hypertension
Unknown or Not Stated,2021,Asian,Overweight 25.0-29.9,21 to 30 pounds,14,gestational_hypertension
Unknown or Not Stated,2021,Asian,Overweight 25.0-29.9,Unknown or Not Stated,17,gestational_hypertension
Unknown or Not Stated,2021,Asian,Unknown or Not Stated,Unknown or Not Stated,85,gestational_hypertension
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,Less than 11 pounds,28,gestational_hypertension
